,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
118,M,mujets,down,5,0,2.5,50,70,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.031009537845791992
119,M,mujets,down,5,0,2.5,70,100,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.029231912364503506
120,M,mujets,down,5,0,2.5,100,140,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.044357765014527345
121,M,mujets,down,5,0,2.5,140,200,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.13231043691237465
122,M,mujets,down,5,0,2.5,200,300,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.15420870704037967
123,M,mujets,down,5,0,2.5,300,600,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.1475611517584101
124,M,mujets,down,5,0,2.5,600,1000,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.08005493989474015
125,M,mujets,down,4,0,2.5,20,30,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.12551405722461878
126,M,mujets,down,4,0,2.5,30,50,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.07721528147858073
127,M,mujets,down,4,0,2.5,50,70,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.09302861353737597
128,M,mujets,down,4,0,2.5,70,100,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.08769573709351051
129,M,mujets,down,4,0,2.5,100,140,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.13307329504358203
130,M,mujets,down,4,0,2.5,140,200,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.39693131073712395
131,M,mujets,down,4,0,2.5,200,300,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.462626121121139
132,M,mujets,down,4,0,2.5,300,600,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.44268345527523023
133,M,mujets,down,4,0,2.5,600,1000,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))-0.24016481968422043
134,M,mujets,up,5,0,2.5,20,30,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.041838019074872924
135,M,mujets,up,5,0,2.5,30,50,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.02573842715952691
136,M,mujets,up,5,0,2.5,50,70,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.031009537845791992
137,M,mujets,up,5,0,2.5,70,100,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.029231912364503506
138,M,mujets,up,5,0,2.5,100,140,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.044357765014527345
139,M,mujets,up,5,0,2.5,140,200,0,1,0.716931+0.0107358*log(x+19)*log(x+18)*(3-0.395804*log(x+18))+0.13231043691237465
