,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
117,M,mujets,down,5,0,2.5,30,50,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.12372273515171131
118,M,mujets,down,5,0,2.5,50,70,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.035824677228745515
119,M,mujets,down,5,0,2.5,70,100,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.029858071830890977
120,M,mujets,down,5,0,2.5,100,140,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.06810224168697065
121,M,mujets,down,5,0,2.5,140,200,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.1117128641338534
122,M,mujets,down,5,0,2.5,200,300,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.10744248955631835
123,M,mujets,down,5,0,2.5,300,600,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.25766872870239615
124,M,mujets,down,5,0,2.5,600,1000,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.15133083832956978
125,M,mujets,down,4,0,2.5,20,30,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.1925222175027809
126,M,mujets,down,4,0,2.5,30,50,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.37116820545513396
127,M,mujets,down,4,0,2.5,50,70,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.10747403168623654
128,M,mujets,down,4,0,2.5,70,100,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.08957421549267293
129,M,mujets,down,4,0,2.5,100,140,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.20430672506091196
130,M,mujets,down,4,0,2.5,140,200,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.3351385924015602
131,M,mujets,down,4,0,2.5,200,300,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.32232746866895506
132,M,mujets,down,4,0,2.5,300,600,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.7730061861071884
133,M,mujets,down,4,0,2.5,600,1000,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))-0.45399251498870935
134,M,mujets,up,5,0,2.5,20,30,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.06417407250092697
135,M,mujets,up,5,0,2.5,30,50,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.12372273515171131
136,M,mujets,up,5,0,2.5,50,70,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.035824677228745515
137,M,mujets,up,5,0,2.5,70,100,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.029858071830890977
138,M,mujets,up,5,0,2.5,100,140,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.06810224168697065
139,M,mujets,up,5,0,2.5,140,200,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.1117128641338534
140,M,mujets,up,5,0,2.5,200,300,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.10744248955631835
141,M,mujets,up,5,0,2.5,300,600,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.25766872870239615
142,M,mujets,up,5,0,2.5,600,1000,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.15133083832956978
143,M,mujets,up,4,0,2.5,20,30,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))+0.1925222175027809
