,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
123,M,mujets,down,5,0,2.5,300,600,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.17020978643257373
124,M,mujets,down,5,0,2.5,600,1000,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.08769676314686792
125,M,mujets,down,4,0,2.5,20,30,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.17951066302703728
126,M,mujets,down,4,0,2.5,30,50,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.06751415691660101
127,M,mujets,down,4,0,2.5,50,70,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.07890115689581358
128,M,mujets,down,4,0,2.5,70,100,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.08205726068952504
129,M,mujets,down,4,0,2.5,100,140,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.14545257461734407
130,M,mujets,down,4,0,2.5,140,200,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.3161883343140363
131,M,mujets,down,4,0,2.5,200,300,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.7627840862396156
132,M,mujets,down,4,0,2.5,300,600,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.5106293592977211
133,M,mujets,down,4,0,2.5,600,1000,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))-0.26309028944060375
134,M,mujets,up,5,0,2.5,20,30,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.059836887675679094
135,M,mujets,up,5,0,2.5,30,50,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.022504718972200338
136,M,mujets,up,5,0,2.5,50,70,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.02630038563193786
137,M,mujets,up,5,0,2.5,70,100,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.027352420229841683
138,M,mujets,up,5,0,2.5,100,140,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.048484191539114686
139,M,mujets,up,5,0,2.5,140,200,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.1053961114380121
140,M,mujets,up,5,0,2.5,200,300,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.2542613620798719
141,M,mujets,up,5,0,2.5,300,600,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.17020978643257373
142,M,mujets,up,5,0,2.5,600,1000,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.08769676314686792
143,M,mujets,up,4,0,2.5,20,30,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.17951066302703728
144,M,mujets,up,4,0,2.5,30,50,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.06751415691660101
145,M,mujets,up,4,0,2.5,50,70,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.07890115689581358
146,M,mujets,up,4,0,2.5,70,100,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.08205726068952504
147,M,mujets,up,4,0,2.5,100,140,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.14545257461734407
148,M,mujets,up,4,0,2.5,140,200,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.3161883343140363
149,M,mujets,up,4,0,2.5,200,300,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.7627840862396156
150,M,mujets,up,4,0,2.5,300,600,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.5106293592977211
151,M,mujets,up,4,0,2.5,600,1000,0,1,0.942959+0.00237583*log(x+19)*log(x+18)*(3-0.520848*log(x+18))+0.26309028944060375
190,T,mujets,central,5,0,2.5,20,1000,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))
191,T,mujets,central,4,0,2.5,20,1000,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))
192,T,mujets,down,5,0,2.5,20,30,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.05199682468585542
193,T,mujets,down,5,0,2.5,30,50,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.024472740778760906
194,T,mujets,down,5,0,2.5,50,70,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.030831555247326222
195,T,mujets,down,5,0,2.5,70,100,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.032469932783303665
196,T,mujets,down,5,0,2.5,100,140,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.04684028371638053
197,T,mujets,down,5,0,2.5,140,200,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.08334535112992125
198,T,mujets,down,5,0,2.5,200,300,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.13156570514701846
199,T,mujets,down,5,0,2.5,300,600,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.2030048558448719
200,T,mujets,down,5,0,2.5,600,1000,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.11044774646372922
201,T,mujets,down,4,0,2.5,20,30,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.18198888640049396
202,T,mujets,down,4,0,2.5,30,50,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.08565459272566317
203,T,mujets,down,4,0,2.5,50,70,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.10791044336564178
204,T,mujets,down,4,0,2.5,70,100,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.11364476474156282
205,T,mujets,down,4,0,2.5,100,140,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.16394099300733184
206,T,mujets,down,4,0,2.5,140,200,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.2917087289547244
207,T,mujets,down,4,0,2.5,200,300,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.4604799680145646
208,T,mujets,down,4,0,2.5,300,600,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.7105169954570517
209,T,mujets,down,4,0,2.5,600,1000,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))-0.38656711262305227
210,T,mujets,up,5,0,2.5,20,30,0,1,1.10766+-0.00439995*log(x+19)*log(x+18)*(3-0.313903*log(x+18))+0.05199682468585542
