,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
117,M,mujets,down,5,0,2.5,30,50,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.028908338267906293
118,M,mujets,down,5,0,2.5,50,70,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.024980837398114766
119,M,mujets,down,5,0,2.5,70,100,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.02903333901367123
120,M,mujets,down,5,0,2.5,100,140,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.03842553708292001
121,M,mujets,down,5,0,2.5,140,200,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.06967644702109696
122,M,mujets,down,5,0,2.5,200,300,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.05618664485247252
123,M,mujets,down,5,0,2.5,300,600,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.05606918829992799
124,M,mujets,down,5,0,2.5,600,1000,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.10453895799964513
125,M,mujets,down,4,0,2.5,20,30,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.09534754787916457
126,M,mujets,down,4,0,2.5,30,50,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.08672501480371889
127,M,mujets,down,4,0,2.5,50,70,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.0749425121943443
128,M,mujets,down,4,0,2.5,70,100,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.0871000170410137
129,M,mujets,down,4,0,2.5,100,140,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.11527661124876001
130,M,mujets,down,4,0,2.5,140,200,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.20902934106329088
131,M,mujets,down,4,0,2.5,200,300,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.16855993455741755
132,M,mujets,down,4,0,2.5,300,600,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.16820756489978397
133,M,mujets,down,4,0,2.5,600,1000,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))-0.3136168739989354
134,M,mujets,up,5,0,2.5,20,30,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.03178251595972152
135,M,mujets,up,5,0,2.5,30,50,0,1,1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.028908338267906293
