#HLT_IsoMu18
61 hltL3fL1sMu22OrParkL1f0L2f10QL3Filtered9Q

#HLT_Mu9_IP5_part*
62 hltL3fL1sMu22OrParkL1f0L2f10QL3Filtered9IP5Q

#HLT_Mu9_IP4_part*
63 hltL3fL1sMu22OrParkL1f0L2f10QL3Filtered9IP4Q

#HLT_Mu8_IP6_part*
64 hltL3fL1sMu22OrParkL1f0L2f10QL3Filtered8IP6Q

#HLT_Mu8_IP5_part*
65 hltL3fL1sMu22OrParkL1f0L2f10QL3Filtered8IP5Q

#HLT_Mu8_IP3_part*
66 hltL3fL1sMu22OrParkL1f0L2f10QL3Filtered8Q

#HLT_Mu7_IP4_part*
67 hltL3fL1sMu22OrParkL1f0L2f10QL3Filtered7IP4Q
